"Date","Price","Open","High","Low","Vol.","Change %"
"08-10-2024","63.95","64.55","65.00","63.65","204.42K","-0.70%"
"07-10-2024","64.40","64.90","65.10","64.05","409.08K","-0.46%"
"04-10-2024","64.70","64.95","65.65","64.40","395.65K","0.54%"
"03-10-2024","64.35","64.25","64.90","64.10","342.53K","0.23%"
"01-10-2024","64.20","64.20","64.40","63.70","166.58K","0.16%"
"30-09-2024","64.10","64.45","64.60","63.90","156.15K","0.00%"
"27-09-2024","64.10","64.75","64.75","63.90","168.35K","-0.54%"
"26-09-2024","64.45","64.25","64.55","64.00","247.37K","0.47%"
"25-09-2024","64.15","64.55","64.75","63.85","270.04K","0.86%"
"24-09-2024","63.60","63.70","63.75","63.30","325.66K","0.55%"
"23-09-2024","63.25","62.90","63.90","62.90","114.68K","0.56%"
"20-09-2024","62.90","62.65","63.20","62.45","216.35K","0.56%"
"19-09-2024","62.55","62.45","62.85","61.60","161.65K","0.40%"
"18-09-2024","62.30","62.65","62.65","62.10","99.66K","-0.16%"
"17-09-2024","62.40","62.80","62.80","62.20","178.27K","-0.16%"
"16-09-2024","62.50","62.70","63.00","62.20","216.50K","0.48%"
"13-09-2024","62.20","61.75","62.40","61.60","260.77K","1.72%"
"12-09-2024","61.15","61.10","61.20","60.75","149.50K","0.00%"
"11-09-2024","61.15","61.15","61.20","60.65","90.58K","0.66%"
"10-09-2024","60.75","60.75","60.95","60.60","77.59K","0.08%"
"09-09-2024","60.70","60.30","60.90","60.30","154.78K","-0.33%"
"06-09-2024","60.90","61.40","61.40","60.80","47.74K","0.00%"
"05-09-2024","60.90","60.80","61.05","60.55","117.12K","0.74%"
"04-09-2024","60.45","60.95","60.95","60.15","153.27K","-0.74%"
"03-09-2024","60.90","61.00","61.15","60.65","137.03K","-0.08%"
"02-09-2024","60.95","61.10","61.10","60.30","273.11K","-0.49%"
"30-08-2024","61.25","61.20","61.25","60.75","202.09K","0.25%"
"29-08-2024","61.10","61.30","61.30","60.90","59.79K","0.16%"
"28-08-2024","61.00","61.25","61.25","60.80","62.40K","0.00%"
"27-08-2024","61.00","61.30","61.30","60.80","147.52K","-0.33%"
"26-08-2024","61.20","60.85","61.30","60.80","216.66K","0.82%"
"23-08-2024","60.70","60.75","61.00","60.35","148.34K","-0.33%"
"22-08-2024","60.90","61.15","61.15","60.75","68.27K","-0.16%"
"21-08-2024","61.00","60.80","61.20","60.80","135.55K","-0.16%"
"20-08-2024","61.10","60.55","61.25","60.35","170.19K","0.41%"
"19-08-2024","60.85","60.10","61.10","60.10","239.86K","1.59%"
"16-08-2024","59.90","60.00","60.00","59.35","221.97K","-0.17%"
"14-08-2024","60.00","60.30","60.30","59.65","68.91K","0.33%"
"13-08-2024","59.80","60.20","60.20","59.65","130.51K","0.42%"
"12-08-2024","59.55","59.40","59.70","58.70","344.69K","1.02%"
"09-08-2024","58.95","60.00","60.20","58.90","82.60K","0.51%"
"08-08-2024","58.65","59.30","59.35","58.60","293.26K","-0.76%"
"07-08-2024","59.10","59.80","59.80","58.65","787.96K","-1.17%"
"06-08-2024","59.80","59.65","60.00","58.55","229.46K","0.59%"
"05-08-2024","59.45","60.30","60.50","59.20","510.74K","-1.08%"
"02-08-2024","60.10","60.60","60.60","59.50","228.43K","1.26%"
"01-08-2024","59.35","59.95","60.00","59.30","423.02K","0.34%"
"31-07-2024","59.15","59.90","60.45","59.00","303.16K","-0.17%"
"30-07-2024","59.25","60.65","60.70","58.65","275.04K","-0.75%"
"29-07-2024","59.70","60.80","63.90","59.20","342.58K","-1.57%"
"26-07-2024","60.65","61.05","61.95","60.15","199.79K","-1.14%"
"25-07-2024","61.35","59.85","61.70","58.90","91.22K","2.16%"
"24-07-2024","60.05","60.70","61.95","59.55","302.66K","-1.07%"
"23-07-2024","60.70","63.00","63.00","59.75","359.72K","-3.50%"
"22-07-2024","62.90","63.00","63.40","62.75","161.41K","-0.16%"
"19-07-2024","63.00","63.25","63.25","62.85","69.66K","-0.63%"
"18-07-2024","63.40","63.50","63.65","63.15","148.88K","0.71%"
"16-07-2024","62.95","62.60","63.00","62.60","170.81K","0.64%"
"15-07-2024","62.55","62.65","62.95","62.30","183.72K","0.24%"
"12-07-2024","62.40","62.80","63.25","62.20","173.70K","0.32%"
"11-07-2024","62.20","62.25","62.40","61.95","168.86K","0.16%"
"10-07-2024","62.10","62.25","62.25","61.75","100.66K","0.16%"
"09-07-2024","62.00","62.15","62.20","61.65","67.53K","-0.24%"
"08-07-2024","62.15","62.20","62.60","61.90","136.17K","0.32%"
"05-07-2024","61.95","61.90","62.05","61.60","71.32K","0.16%"
"04-07-2024","61.85","61.75","62.00","61.55","145.97K","0.32%"
"03-07-2024","61.65","61.15","61.65","61.05","105.52K","0.82%"
"02-07-2024","61.15","61.30","61.30","60.80","71.76K","-0.16%"
"01-07-2024","61.25","61.25","61.30","60.75","102.63K","0.41%"
"28-06-2024","61.00","61.20","61.45","60.70","84.66K","0.58%"
"27-06-2024","60.65","60.90","60.90","60.50","54.62K","-0.49%"
"26-06-2024","60.95","60.95","61.20","60.75","39.41K","-0.08%"
"25-06-2024","61.00","61.25","61.30","60.90","56.54K","-0.25%"
"24-06-2024","61.15","61.60","61.60","61.00","118.78K","-1.05%"
"21-06-2024","61.80","62.10","62.10","61.65","104.40K","0.49%"
"20-06-2024","61.50","61.70","61.75","60.95","49.40K","0.65%"
"19-06-2024","61.10","61.05","61.70","60.90","97.20K","0.33%"
"18-06-2024","60.90","61.05","62.05","60.75","188.40K","-0.25%"
"14-06-2024","61.05","61.25","61.30","60.55","93.22K","-0.08%"
"13-06-2024","61.10","61.30","61.30","60.80","92.98K","0.00%"
"12-06-2024","61.10","61.15","61.20","60.85","101.23K","0.49%"
"11-06-2024","60.80","60.65","61.15","60.50","50.73K","0.25%"
"10-06-2024","60.65","61.20","61.25","60.10","227.23K","-1.46%"
"07-06-2024","61.55","61.60","62.50","61.40","1.14M","-0.65%"
"06-06-2024","61.95","62.00","62.30","61.50","97.53K","1.39%"
"05-06-2024","61.10","60.60","61.55","60.60","76.64K","-0.41%"
"04-06-2024","61.35","61.85","61.85","61.10","115.99K","0.41%"
"03-06-2024","61.10","61.40","61.75","60.80","111.14K","-0.81%"
"31-05-2024","61.60","61.50","61.70","61.20","61.78K","0.49%"
"30-05-2024","61.30","61.65","61.65","61.10","1.03M","-0.49%"
"29-05-2024","61.60","62.15","62.15","61.45","81.08K","0.08%"
"28-05-2024","61.55","62.05","62.05","61.35","1.06M","0.00%"
"27-05-2024","61.55","63.30","63.30","61.10","197.88K","0.16%"
"24-05-2024","61.45","62.45","62.45","61.25","1.30M","-1.99%"
