Date,Price,Open,High,Low,Vol.,Change %
19-05-2023,51.6,51.65,51.7,51.45,71.41K,-0.48%
22-05-2023,52.1,52.15,52.15,51.75,100.40K,0.97%
23-05-2023,51.55,51.85,51.9,51.4,65.54K,-1.06%
24-05-2023,51.8,51.8,52,51.7,25.49K,0.48%
25-05-2023,51.6,51.7,51.7,51.25,41.97K,-0.39%
26-05-2023,51.5,51.5,51.7,51.25,125.39K,-0.19%
29-05-2023,51.2,51.45,51.45,51.15,54.25K,-0.58%
30-05-2023,51.25,51.35,51.55,50.9,183.86K,0.10%
31-05-2023,51.3,51.45,51.65,51.1,61.61K,0.10%
01-06-2023,51.2,51.75,51.75,51.1,62.94K,-0.19%
02-06-2023,51.5,51.7,51.7,51.35,41.26K,0.59%
05-06-2023,50.9,51.15,51.45,50.9,134.29K,-1.17%
06-06-2023,51.25,51.4,51.4,51.05,79.17K,0.69%
07-06-2023,51.3,51.4,51.4,51,39.87K,0.10%
08-06-2023,51,51.05,51.1,50.8,55.18K,-0.58%
09-06-2023,51.25,51.45,51.45,51.05,55.80K,0.49%
12-06-2023,51.1,51.25,51.3,50.85,62.04K,-0.29%
13-06-2023,51.2,51.3,51.3,50.9,52.47K,0.20%
14-06-2023,50.85,50.95,51.05,50.55,149.70K,-0.68%
15-06-2023,50.4,50.65,50.65,50.35,57.53K,-0.88%
16-06-2023,50.8,50.9,51,50.65,50.70K,0.79%
19-06-2023,50.75,50.85,50.9,50.65,37.47K,-0.10%
20-06-2023,50.65,50.8,50.8,50.4,94.11K,-0.20%
21-06-2023,50.35,50.4,50.45,50.15,114.69K,-0.59%
22-06-2023,50,50.45,50.5,49.9,116.01K,-0.70%
23-06-2023,49.75,49.85,49.95,49.7,97.28K,-0.50%
26-06-2023,50.1,49.85,50.2,49.75,74.15K,0.70%
27-06-2023,49.85,50.25,50.25,49.8,119.98K,-0.50%
28-06-2023,49.75,49.8,50,49.65,42.20K,-0.20%
30-06-2023,49.4,50.1,50.1,49.35,102.76K,-0.70%
03-07-2023,49.7,49.5,49.85,49.45,53.47K,0.61%
04-07-2023,49.9,49.75,50.1,49.75,120.09K,0.40%
05-07-2023,50.2,50.05,50.3,49.8,136.64K,0.60%
06-07-2023,50.05,50.15,50.2,49.95,46.37K,-0.30%
07-07-2023,50.2,50.2,50.2,49.9,32.64K,0.30%
10-07-2023,50.1,50.6,50.6,50,58.14K,-0.20%
11-07-2023,50.25,50.2,50.35,49.95,51.71K,0.30%
12-07-2023,50.25,50.35,50.4,50.15,62.76K,0.00%
13-07-2023,50.7,50.9,50.9,50.45,49.15K,0.90%
14-07-2023,50.55,50.7,51.3,50.5,138.07K,-0.30%
17-07-2023,50.5,53.2,53.2,50.45,212.94K,-0.10%
18-07-2023,50.65,50.5,50.8,50.45,97.68K,0.30%
19-07-2023,51.05,51.15,51.15,50.85,85.53K,0.79%
20-07-2023,51.1,51.1,51.35,51,49.76K,0.10%
21-07-2023,50.75,51.1,51.1,50.65,55.44K,-0.68%
24-07-2023,50.6,50.75,50.8,50.6,73.11K,-0.30%
25-07-2023,50.75,50.8,50.8,50.4,74.41K,0.30%
26-07-2023,50.8,50.75,50.95,50.6,567.13K,0.10%
27-07-2023,50.95,51.3,51.3,50.85,42.13K,0.30%
28-07-2023,50.55,50.75,50.8,50.45,56.60K,-0.79%
31-07-2023,50.65,50.6,50.8,50.55,110.61K,0.20%
01-08-2023,50.65,50.9,50.95,50.6,182.70K,0.00%
02-08-2023,50.7,50.75,50.8,50.55,145.57K,0.10%
03-08-2023,50.55,50.7,50.7,50.5,56.84K,-0.30%
04-08-2023,50.5,50.65,50.65,50.35,77.21K,-0.10%
07-08-2023,50.5,50.6,50.65,50.5,71.94K,0.00%
08-08-2023,50.6,50.5,50.65,50.5,26.86K,0.20%
09-08-2023,50.5,50.6,50.65,50.4,129.42K,-0.20%
10-08-2023,50.3,50.45,50.45,50.1,42.86K,-0.40%
11-08-2023,50.25,50.4,50.4,50.1,26.31K,-0.10%
14-08-2023,50.3,50.25,50.35,50.05,32.78K,0.10%
16-08-2023,50.2,50.3,50.3,50.05,29.54K,-0.20%
17-08-2023,50,50.05,50.05,49.8,124.37K,-0.40%
18-08-2023,49.95,50.1,50.1,49.75,196.80K,-0.10%
21-08-2023,49.9,49.95,49.95,49.7,86.43K,-0.10%
